
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;Latitude;Longitude;Speed (m/s);
14:34:33:116;0,0450;-0,0059;0,9655;149,332;0,348;-2,666;0,00000000;0,00000000;0,00000000;
14:34:33:117;0,0537;-0,0254;0,9860;149,872;1,474;-3,120;0,00000000;0,00000000;0,00000000;
14:34:33:118;0,0674;-0,0606;1,0525;150,623;3,288;-3,666;0,00000000;0,00000000;0,00000000;
14:34:33:119;0,0752;-0,0811;1,0886;151,008;4,251;-3,954;0,00000000;0,00000000;0,00000000;
14:34:33:120;0,0704;-0,0665;1,0486;150,794;3,618;-3,839;0,00000000;0,00000000;0,00000000;
14:34:33:121;0,0567;-0,0283;0,9987;149,976;1,623;-3,248;0,00000000;0,00000000;0,00000000;
14:34:33:123;0,0567;-0,0283;0,9987;148,181;1,623;-3,248;0,00000000;0,00000000;0,00000000;
14:34:33:124;0,0577;-0,0274;0,9890;148,211;1,582;-3,337;0,00000000;0,00000000;0,00000000;
14:34:33:125;0,0684;-0,0537;1,0280;148,798;2,986;-3,807;0,00000000;0,00000000;0,00000000;
14:34:33:126;0,0752;-0,0694;1,0642;149,095;3,721;-4,044;0,00000000;0,00000000;0,00000000;
14:34:33:127;0,0723;-0,0645;1,0495;148,993;3,508;-3,942;0,00000000;0,00000000;0,00000000;
14:34:33:129;0,0616;-0,0420;1,0144;148,483;2,368;-3,473;0,00000000;0,00000000;0,00000000;
14:34:33:137;0,0577;-0,0313;0,9987;148,252;1,790;-3,304;0,00000000;0,00000000;0,00000000;
14:34:33:159;0,0674;-0,0498;1,0241;148,727;2,780;-3,767;0,00000000;0,00000000;0,00000000;
14:34:33:160;0,0674;-0,0498;1,0241;147,496;2,780;-3,767;0,00000000;0,00000000;0,00000000;
14:34:33:162;0,0762;-0,0684;1,0515;147,894;3,712;-4,146;0,00000000;0,00000000;0,00000000;
14:34:33:165;0,0772;-0,0645;1,0486;147,874;3,510;-4,211;0,00000000;0,00000000;0,00000000;
14:34:33:175;0,0694;-0,0479;1,0202;147,525;2,681;-3,891;0,00000000;0,00000000;0,00000000;
14:34:33:185;0,0635;-0,0371;1,0046;147,260;2,113;-3,618;0,00000000;0,00000000;0,00000000;
14:34:33:195;0,0665;-0,0459;1,0202;147,425;2,572;-3,727;0,00000000;0,00000000;0,00000000;
14:34:33:205;0,0723;-0,0606;1,0447;147,713;3,311;-3,960;0,00000000;0,00000000;0,00000000;
14:34:33:215;0,0743;-0,0596;1,0486;147,738;3,246;-4,051;0,00000000;0,00000000;0,00000000;
14:34:33:216;0,0743;-0,0596;1,0486;146,389;3,246;-4,051;0,00000000;0,00000000;0,00000000;
14:34:33:226;0,0704;-0,0489;1,0280;146,207;2,715;-3,915;0,00000000;0,00000000;0,00000000;
14:34:33:235;0,0665;-0,0391;1,0114;146,021;2,208;-3,759;0,00000000;0,00000000;0,00000000;
14:34:33:245;0,0674;-0,0430;1,0183;146,083;2,413;-3,789;0,00000000;0,00000000;0,00000000;
14:34:33:255;0,0713;-0,0547;1,0368;146,287;3,014;-3,936;0,00000000;0,00000000;0,00000000;
14:34:33:265;0,0704;-0,0586;1,0447;146,299;3,205;-3,853;0,00000000;0,00000000;0,00000000;
14:34:33:275;0,0655;-0,0498;1,0300;146,107;2,765;-3,637;0,00000000;0,00000000;0,00000000;
14:34:33:283;0,0655;-0,0498;1,0300;146,067;2,765;-3,637;0,00000000;0,00000000;0,00000000;
14:34:33:288;0,0596;-0,0410;1,0153;145,853;2,311;-3,360;0,00000000;0,00000000;0,00000000;
14:34:33:295;0,0577;-0,0430;1,0173;145,833;2,416;-3,244;0,00000000;0,00000000;0,00000000;
14:34:33:305;0,0586;-0,0508;1,0329;145,926;2,812;-3,249;0,00000000;0,00000000;0,00000000;
14:34:33:316;0,0577;-0,0567;1,0407;145,964;3,112;-3,171;0,00000000;0,00000000;0,00000000;
14:34:33:326;0,0518;-0,0498;1,0319;145,770;2,762;-2,873;0,00000000;0,00000000;0,00000000;
14:34:33:335;0,0459;-0,0391;1,0183;145,529;2,196;-2,583;0,00000000;0,00000000;0,00000000;
14:34:33:345;0,0450;-0,0381;1,0163;145,499;2,145;-2,533;0,00000000;0,00000000;0,00000000;
14:34:33:348;0,0450;-0,0381;1,0163;145,775;2,145;-2,533;0,00000000;0,00000000;0,00000000;
14:34:33:355;0,0459;-0,0450;1,0280;145,863;2,501;-2,558;0,00000000;0,00000000;0,00000000;
14:34:33:365;0,0430;-0,0508;1,0368;145,862;2,803;-2,375;0,00000000;0,00000000;0,00000000;
14:34:33:375;0,0410;-0,0479;1,0329;145,792;2,652;-2,275;0,00000000;0,00000000;0,00000000;
14:34:33:385;0,0381;-0,0410;1,0222;145,664;2,298;-2,135;0,00000000;0,00000000;0,00000000;
14:34:33:396;0,0332;-0,0381;1,0183;145,533;2,142;-1,869;0,00000000;0,00000000;0,00000000;
14:34:33:405;0,0342;-0,0420;1,0261;145,592;2,344;-1,909;0,00000000;0,00000000;0,00000000;
14:34:33:414;0,0342;-0,0420;1,0261;145,135;2,344;-1,909;0,00000000;0,00000000;0,00000000;
14:34:33:419;0,0352;-0,0450;1,0339;145,179;2,488;-1,949;0,00000000;0,00000000;0,00000000;
14:34:33:426;0,0322;-0,0420;1,0300;145,093;2,335;-1,793;0,00000000;0,00000000;0,00000000;
14:34:33:437;0,0264;-0,0391;1,0232;144,953;2,187;-1,477;0,00000000;0,00000000;0,00000000;
14:34:33:445;0,0274;-0,0381;1,0192;144,964;2,141;-1,538;0,00000000;0,00000000;0,00000000;
14:34:33:457;0,0195;-0,0450;1,0261;144,889;2,508;-1,091;0,00000000;0,00000000;0,00000000;
14:34:33:469;-0,0156;-0,0586;1,0251;144,392;3,273;0,874;0,00000000;0,00000000;0,00000000;
